epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,49.9867,0.61613,0.52178,1.10708,0.95039,1,0.995,0.82077,0.95827,0.82317,2.11091,0.000435004,0.000435004,0.000435004
44,50.9938,0.61905,0.56582,1.15326,0.94484,1,0.995,0.84554,0.92033,0.78021,2.12304,0.000421309,0.000421309,0.000421309
45,51.9266,0.65411,0.59614,1.20596,0.94484,1,0.995,0.84554,0.92033,0.78021,2.12304,0.000406515,0.000406515,0.000406515
46,52.8972,0.62394,0.47181,1.07468,0.91751,1,0.995,0.8084,0.97515,0.70816,2.26168,0.00039062,0.00039062,0.00039062
47,54.0087,0.5379,0.5154,1.11101,0.91751,1,0.995,0.8084,0.97515,0.70816,2.26168,0.000373625,0.000373625,0.000373625
48,55.3335,0.58885,0.52557,1.15006,0.90366,1,0.995,0.80841,1.05706,0.74689,2.33216,0.000355529,0.000355529,0.000355529
49,56.7533,0.53818,0.42864,1.06826,0.90366,1,0.995,0.80841,1.05706,0.74689,2.33216,0.000336334,0.000336334,0.000336334
50,57.9126,0.62049,0.4829,1.13388,0.82799,0.97825,0.995,0.78351,1.06094,0.75418,2.26013,0.000316038,0.000316038,0.000316038
51,59.8961,0.53044,0.59151,1.03404,0.82799,0.97825,0.995,0.78351,1.06094,0.75418,2.26013,0.000291725,0.000291725,0.000291725
52,61.2342,0.50001,0.79352,1.1021,0.81346,0.84023,0.995,0.77112,0.95021,0.85859,1.94764,0.00026422,0.00026422,0.00026422
53,62.248,0.43786,0.50335,1.03887,0.81346,0.84023,0.995,0.77112,0.95021,0.85859,1.94764,0.000236714,0.000236714,0.000236714
54,63.2062,0.45938,0.49243,1.03853,0.69546,0.97245,0.995,0.77112,0.95618,0.88666,2.04197,0.000209209,0.000209209,0.000209209
55,64.1638,0.42824,0.51388,1.03615,0.69546,0.97245,0.995,0.77112,0.95618,0.88666,2.04197,0.000181703,0.000181703,0.000181703
56,65.0888,0.40693,0.4943,0.99248,0.79563,0.97241,0.995,0.77114,0.97944,0.71851,2.20253,0.000154198,0.000154198,0.000154198
57,66.0105,0.45775,0.49711,1.05693,0.79563,0.97241,0.995,0.77114,0.97944,0.71851,2.20253,0.000126692,0.000126692,0.000126692
58,66.9756,0.41173,0.4608,0.98318,0.86156,1,0.995,0.80845,0.96213,0.58268,2.20346,9.91865e-05,9.91865e-05,9.91865e-05
59,68.1328,0.45754,0.46996,0.99742,0.86156,1,0.995,0.80845,0.96213,0.58268,2.20346,7.1681e-05,7.1681e-05,7.1681e-05
60,69.4391,0.39132,0.45187,0.95179,0.89243,1,0.995,0.80846,0.96283,0.51562,2.20398,4.41755e-05,4.41755e-05,4.41755e-05
